
=======================================================
SINGLE-GPU TRAINING: data/mixed/ratio_100_0.jsonl
  49,987 texts → 13,350,010 tokens
=======================================================
  98,591,232 params | 12384 steps | bs=8x1024 | 8 epochs | LR=0.0005
  step  4250/12384 | loss=1.7583 ppl=6 | 13K tok/s
  step  4300/12384 | loss=1.6078 ppl=5 | 13K tok/s
  step  4350/12384 | loss=1.7258 ppl=6 | 13K tok/s
  step  4400/12384 | loss=1.9072 ppl=7 | 13K tok/s
  step  4450/12384 | loss=1.5063 ppl=5 | 13K tok/s
  step  4500/12384 | loss=1.6729 ppl=5 | 13K tok/s
  step  4550/12384 | loss=1.5626 ppl=5 | 13K tok/s
  step  4600/12384 | loss=1.7057 ppl=6 | 13K tok/s
  step  4650/12384 | loss=1.4141 ppl=4 | 13K tok/s
  step  4700/12384 | loss=1.2969 ppl=4 | 13K tok/s
  step  4750/12384 | loss=1.3748 ppl=4 | 13K tok/s
  step  4800/12384 | loss=1.5180 ppl=5 | 13K tok/s
  step  4850/12384 | loss=1.3664 ppl=4 | 13K tok/s
  step  4900/12384 | loss=1.4391 ppl=4 | 13K tok/s
  step  4950/12384 | loss=1.3844 ppl=4 | 13K tok/s
  step  5000/12384 | loss=1.5415 ppl=5 | 13K tok/s
  step  5050/12384 | loss=1.4164 ppl=4 | 13K tok/s
  step  5100/12384 | loss=1.6525 ppl=5 | 13K tok/s
  step  5150/12384 | loss=1.5476 ppl=5 | 13K tok/s
  step  5200/12384 | loss=1.5502 ppl=5 | 13K tok/s
  step  5250/12384 | loss=1.6333 ppl=5 | 13K tok/s
  step  5300/12384 | loss=1.4211 ppl=4 | 13K tok/s
  step  5350/12384 | loss=1.4492 ppl=4 | 13K tok/s
  step  5400/12384 | loss=1.5544 ppl=5 | 13K tok/s
  step  5450/12384 | loss=1.5460 ppl=5 | 13K tok/s
  step  5500/12384 | loss=1.4438 ppl=4 | 13K tok/s
  step  5550/12384 | loss=1.3088 ppl=4 | 13K tok/s
  step  5600/12384 | loss=1.6163 ppl=5 | 13K tok/s
  step  5650/12384 | loss=1.2832 ppl=4 | 13K tok/s
  step  5700/12384 | loss=1.4734 ppl=4 | 13K tok/s
  step  5750/12384 | loss=1.4666 ppl=4 | 13K tok/s
  step  5800/12384 | loss=1.5777 ppl=5 | 13K tok/s
  step  5850/12384 | loss=1.4994 ppl=4 | 13K tok/s
  step  5900/12384 | loss=1.4216 ppl=4 | 13K tok/s
  step  5950/12384 | loss=1.5936 ppl=5 | 13K tok/s
  step  6000/12384 | loss=1.5482 ppl=5 | 13K tok/s
  step  6050/12384 | loss=1.4704 ppl=4 | 13K tok/s
  step  6100/12384 | loss=1.5051 ppl=5 | 13K tok/s
  step  6150/12384 | loss=1.5095 ppl=5 | 13K tok/s
  step  6200/12384 | loss=1.1135 ppl=3 | 13K tok/s
  step  6250/12384 | loss=1.3520 ppl=4 | 13K tok/s
  step  6300/12384 | loss=1.1100 ppl=3 | 13K tok/s
  step  6350/12384 | loss=1.1553 ppl=3 | 13K tok/s
  step  6400/12384 | loss=1.2611 ppl=4 | 13K tok/s
  step  6450/12384 | loss=1.2257 ppl=3 | 13K tok/s
  step  6500/12384 | loss=1.1430 ppl=3 | 13K tok/s
  step  6550/12384 | loss=1.3972 ppl=4 | 13K tok/s
  step  6600/12384 | loss=1.3446 ppl=4 | 13K tok/s
  step  6650/12384 | loss=1.3182 ppl=4 | 13K tok/s
  step  6700/12384 | loss=1.2091 ppl=3 | 13K tok/s
  step  6750/12384 | loss=1.2285 ppl=3 | 13K tok/s
  step  6800/12384 | loss=1.2655 ppl=4 | 13K tok/s
  step  6850/12384 | loss=1.3584 ppl=4 | 13K tok/s
  step  6900/12384 | loss=1.2245 ppl=3 | 13K tok/s
  step  6950/12384 | loss=1.3740 ppl=4 | 13K tok/s
  step  7000/12384 | loss=1.2816 ppl=4 | 13K tok/s
  step  7050/12384 | loss=1.4438 ppl=4 | 13K tok/s
  step  7100/12384 | loss=1.3920 ppl=4 | 13K tok/s
  step  7150/12384 | loss=1.3126 ppl=4 | 13K tok/s
  step  7200/12384 | loss=1.3252 ppl=4 | 13K tok/s
  step  7250/12384 | loss=1.3533 ppl=4 | 13K tok/s
  step  7300/12384 | loss=1.2255 ppl=3 | 13K tok/s
  step  7350/12384 | loss=1.3518 ppl=4 | 13K tok/s
  step  7400/12384 | loss=1.3602 ppl=4 | 13K tok/s
  step  7450/12384 | loss=1.3349 ppl=4 | 13K tok/s
  step  7500/12384 | loss=1.2997 ppl=4 | 13K tok/s
  step  7550/12384 | loss=1.4086 ppl=4 | 13K tok/s
  step  7600/12384 | loss=1.4326 ppl=4 | 13K tok/s
  step  7650/12384 | loss=1.4185 ppl=4 | 13K tok/s
  step  7700/12384 | loss=1.4516 ppl=4 | 13K tok/s
  step  7750/12384 | loss=0.9812 ppl=3 | 13K tok/s
  step  7800/12384 | loss=1.1077 ppl=3 | 13K tok/s
  step  7850/12384 | loss=0.9645 ppl=3 | 13K tok/s
  step  7900/12384 | loss=1.0549 ppl=3 | 13K tok/s
  step  7950/12384 | loss=1.0704 ppl=3 | 13K tok/s
  step  8000/12384 | loss=1.1493 ppl=3 | 13K tok/s
  step  8050/12384 | loss=1.2973 ppl=4 | 13K tok/s
  step  8100/12384 | loss=1.0968 ppl=3 | 13K tok/s
  step  8150/12384 | loss=1.1617 ppl=3 | 13K tok/s
  step  8200/12384 | loss=1.0543 ppl=3 | 13K tok/s
  step  8250/12384 | loss=1.1402 ppl=3 | 13K tok/s
  step  8300/12384 | loss=1.1589 ppl=3 | 13K tok/s
  step  8350/12384 | loss=1.2046 ppl=3 | 13K tok/s
  step  8400/12384 | loss=1.2372 ppl=3 | 13K tok/s
  step  8450/12384 | loss=1.1375 ppl=3 | 13K tok/s
  step  8500/12384 | loss=1.2306 ppl=3 | 13K tok/s
  step  8550/12384 | loss=1.2327 ppl=3 | 13K tok/s
  step  8600/12384 | loss=1.2579 ppl=4 | 13K tok/s
  step  8650/12384 | loss=1.2266 ppl=3 | 13K tok/s
  step  8700/12384 | loss=1.2292 ppl=3 | 13K tok/s
