step,total_steps,loss,ppl
1,12384,9.1143,9084
2,12384,8.9165,7454
3,12384,8.9614,7797
4,12384,8.9605,7789
5,12384,8.9337,7584
6,12384,8.8712,7124
7,12384,8.8807,7192
8,12384,8.8168,6746
9,12384,8.8274,6818
10,12384,8.8216,6779
50,12384,8.1822,3577
100,12384,7.4505,1721
150,12384,6.5816,722
200,12384,6.2225,504
250,12384,5.6851,294
300,12384,5.2933,199
350,12384,4.8183,124
400,12384,4.5707,97
450,12384,4.5636,96
500,12384,4.2200,68
550,12384,3.9725,53
600,12384,3.7210,41
650,12384,3.4645,32
700,12384,3.2080,25
750,12384,3.2756,26
800,12384,3.2498,26
850,12384,2.8885,18
900,12384,2.7118,15
950,12384,2.7357,15
1000,12384,2.8597,17
1050,12384,2.7209,15
1100,12384,2.7789,16
1150,12384,2.6137,14
1200,12384,2.3448,10
1250,12384,2.4251,11
1300,12384,2.5080,12
1350,12384,2.3828,11
1400,12384,2.3786,11
1450,12384,2.4221,11
1500,12384,2.0835,8
1550,12384,2.1917,9
1600,12384,2.1977,9
1650,12384,2.0539,8
1700,12384,2.1806,9
1750,12384,2.2052,9
1800,12384,2.0340,8
1850,12384,1.9174,7
1900,12384,2.1458,9
1950,12384,1.9601,7
2000,12384,2.2802,10
2050,12384,2.1307,8
2100,12384,2.1736,9
2150,12384,2.2519,10
2200,12384,2.0222,8
2250,12384,1.9067,7
2300,12384,2.0152,8
2350,12384,1.7798,6
2400,12384,1.9345,7
2450,12384,2.0179,8
2500,12384,1.8088,6
2550,12384,2.0046,7
2600,12384,1.8920,7
2650,12384,1.7234,6
2700,12384,1.8698,6
2750,12384,1.9181,7
2800,12384,1.8603,6
2850,12384,1.6779,5
2900,12384,1.8372,6
2950,12384,1.8253,6
3000,12384,1.8682,6
3050,12384,1.8487,6
3100,12384,1.7221,6
3150,12384,1.5920,5
3200,12384,1.6117,5
3250,12384,1.7570,6
3300,12384,1.7210,6
3350,12384,1.6889,5
3400,12384,1.7851,6
3450,12384,1.6414,5
3500,12384,1.6834,5
3550,12384,1.8771,7
3600,12384,1.7506,6
3650,12384,1.5928,5
3700,12384,1.9153,7
3750,12384,1.6477,5
3800,12384,1.6035,5
3850,12384,1.7894,6
3900,12384,1.6433,5
3950,12384,1.7018,5
4000,12384,1.7717,6
4050,12384,1.6802,5
4100,12384,1.5682,5
4150,12384,1.5279,5
4200,12384,1.6907,5
4250,12384,1.7583,6
4300,12384,1.6078,5
4350,12384,1.7258,6
4400,12384,1.9072,7
4450,12384,1.5063,5
4500,12384,1.6729,5
4550,12384,1.5626,5
4600,12384,1.7057,6
4650,12384,1.4141,4
4700,12384,1.2969,4
4750,12384,1.3748,4
4800,12384,1.5180,5
4850,12384,1.3664,4
4900,12384,1.4391,4
4950,12384,1.3844,4
5000,12384,1.5415,5
5050,12384,1.4164,4
5100,12384,1.6525,5
5150,12384,1.5476,5
5200,12384,1.5502,5
5250,12384,1.6333,5
5300,12384,1.4211,4
5350,12384,1.4492,4
5400,12384,1.5544,5
5450,12384,1.5460,5
5500,12384,1.4438,4
5550,12384,1.3088,4
5600,12384,1.6163,5
5650,12384,1.2832,4
5700,12384,1.4734,4
5750,12384,1.4666,4
5800,12384,1.5777,5
5850,12384,1.4994,4
5900,12384,1.4216,4
5950,12384,1.5936,5
6000,12384,1.5482,5
6050,12384,1.4704,4
6100,12384,1.5051,5
6150,12384,1.5095,5
6200,12384,1.1135,3
6250,12384,1.3520,4
6300,12384,1.1100,3
6350,12384,1.1553,3
6400,12384,1.2611,4
6450,12384,1.2257,3
6500,12384,1.1430,3
6550,12384,1.3972,4
6600,12384,1.3446,4
6650,12384,1.3182,4
6700,12384,1.2091,3
6750,12384,1.2285,3
6800,12384,1.2655,4
6850,12384,1.3584,4
6900,12384,1.2245,3
6950,12384,1.3740,4
7000,12384,1.2816,4
7050,12384,1.4438,4
7100,12384,1.3920,4
7150,12384,1.3126,4
7200,12384,1.3252,4
7250,12384,1.3533,4
7300,12384,1.2255,3
7350,12384,1.3518,4
7400,12384,1.3602,4
7450,12384,1.3349,4
7500,12384,1.2997,4
7550,12384,1.4086,4
7600,12384,1.4326,4
7650,12384,1.4185,4
7700,12384,1.4516,4
7750,12384,0.9812,3
7800,12384,1.1077,3
7850,12384,0.9645,3
7900,12384,1.0549,3
7950,12384,1.0704,3
8000,12384,1.1493,3
8050,12384,1.2973,4
8100,12384,1.0968,3
8150,12384,1.1617,3
8200,12384,1.0543,3
8250,12384,1.1402,3
8300,12384,1.1589,3
8350,12384,1.2046,3
8400,12384,1.2372,3
8450,12384,1.1375,3
8500,12384,1.2306,3
8550,12384,1.2327,3
8600,12384,1.2579,4
8650,12384,1.2266,3
8700,12384,1.2292,3
8750,12384,1.0842,3
8800,12384,1.3491,4
8850,12384,1.1310,3
8900,12384,1.2942,4
8950,12384,1.1833,3
9000,12384,1.2886,4
9050,12384,1.2373,3
9100,12384,1.2446,3
9150,12384,1.1654,3
9200,12384,1.2633,4
9250,12384,1.2301,3
9300,12384,0.8965,2
9350,12384,0.9403,3
9400,12384,1.0249,3
9450,12384,0.9009,2
9500,12384,0.9916,3
9550,12384,0.9999,3
9600,12384,0.8868,2
9650,12384,0.8714,2
9700,12384,1.0206,3
9750,12384,1.0371,3
9800,12384,1.0625,3
9850,12384,1.0848,3
9900,12384,1.0391,3
9950,12384,0.9803,3
10000,12384,1.0778,3
10050,12384,1.0553,3
10100,12384,1.0295,3
10150,12384,1.0667,3
10200,12384,1.0856,3
10250,12384,1.1479,3
10300,12384,1.1426,3
10350,12384,1.1344,3
10400,12384,1.0974,3
10450,12384,1.1683,3
10500,12384,1.0749,3
10550,12384,1.2008,3
10600,12384,1.2002,3
10650,12384,0.9985,3
10700,12384,1.1843,3
10750,12384,1.1598,3
10800,12384,0.9580,3
10850,12384,0.7176,2
10900,12384,0.6594,2
10950,12384,0.7660,2
11000,12384,0.8129,2
11050,12384,0.6417,2
11100,12384,0.7351,2
11150,12384,0.8193,2
11200,12384,0.7414,2
11250,12384,0.7403,2
11300,12384,0.8048,2
11350,12384,0.7940,2
11400,12384,0.7902,2
11450,12384,0.7033,2
11500,12384,0.6999,2
11550,12384,0.7533,2
11600,12384,0.7495,2
11650,12384,0.6529,2
11700,12384,0.7027,2
11750,12384,0.7548,2
11800,12384,0.7262,2
11850,12384,0.6956,2
11900,12384,0.6428,2
11950,12384,0.7346,2
12000,12384,0.6268,2
12050,12384,0.6734,2
12100,12384,0.6317,2
12150,12384,0.6691,2
12200,12384,0.6538,2
12250,12384,0.6728,2
