
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  98,591,232 params | 5412 steps | bs=8x1024 | 2 epochs | LR=0.0005
  step  4250/5412 | loss=1.6590 ppl=5 | 14K tok/s
  step  4300/5412 | loss=1.8137 ppl=6 | 14K tok/s
  step  4350/5412 | loss=1.7172 ppl=6 | 14K tok/s
  step  4400/5412 | loss=1.6600 ppl=5 | 14K tok/s
  step  4450/5412 | loss=1.5933 ppl=5 | 14K tok/s
  step  4500/5412 | loss=1.7108 ppl=6 | 14K tok/s
  step  4550/5412 | loss=1.6699 ppl=5 | 14K tok/s
  step  4600/5412 | loss=1.7458 ppl=6 | 14K tok/s
  step  4650/5412 | loss=1.6600 ppl=5 | 14K tok/s
  step  4700/5412 | loss=1.7333 ppl=6 | 14K tok/s
  step  4750/5412 | loss=1.8377 ppl=6 | 14K tok/s
  step  4800/5412 | loss=1.5690 ppl=5 | 14K tok/s
  step  4850/5412 | loss=1.7849 ppl=6 | 14K tok/s
  step  4900/5412 | loss=1.6322 ppl=5 | 14K tok/s
  step  4950/5412 | loss=1.4952 ppl=4 | 14K tok/s
  step  5000/5412 | loss=1.5628 ppl=5 | 14K tok/s
  step  5050/5412 | loss=1.6627 ppl=5 | 14K tok/s
  step  5100/5412 | loss=1.6411 ppl=5 | 14K tok/s
  step  5150/5412 | loss=1.5437 ppl=5 | 14K tok/s
  step  5200/5412 | loss=1.6185 ppl=5 | 14K tok/s
  step  5250/5412 | loss=1.5442 ppl=5 | 14K tok/s
  step  5300/5412 | loss=1.5161 ppl=5 | 14K tok/s
  step  5350/5412 | loss=1.5074 ppl=5 | 14K tok/s
  step  5400/5412 | loss=1.5603 ppl=5 | 14K tok/s

=======================================================
DONE: checkpoints/scale_pure_23M_2ep.pt
  VAL PPL: 5 | 53.8min | 14K tok/s
  Checkpoint: checkpoints/scale_pure_23M_2ep.pt (0.4GB)
=======================================================
