
=======================================================
SINGLE-GPU TRAINING: data/mixed/ratio_40_60_rw.jsonl
  44,540 texts → 13,350,370 tokens
=======================================================
  98,591,232 params | 3096 steps | bs=8x1024 | 2 epochs | LR=0.0005
  step     1/3096 | loss=9.1360 ppl=9283 | 5K tok/s
  step     2/3096 | loss=8.9084 ppl=7394 | 8K tok/s
  step     3/3096 | loss=8.8821 ppl=7202 | 9K tok/s
  step     4/3096 | loss=8.8685 ppl=7105 | 10K tok/s
  step     5/3096 | loss=8.8360 ppl=6878 | 11K tok/s
  step     6/3096 | loss=8.7601 ppl=6375 | 11K tok/s
  step     7/3096 | loss=8.7687 ppl=6430 | 11K tok/s
  step     8/3096 | loss=8.6732 ppl=5844 | 12K tok/s
  step     9/3096 | loss=8.7249 ppl=6154 | 12K tok/s
  step    10/3096 | loss=8.6298 ppl=5596 | 12K tok/s
  step    50/3096 | loss=7.7469 ppl=2314 | 14K tok/s
  step   100/3096 | loss=6.9272 ppl=1020 | 14K tok/s
  step   150/3096 | loss=6.3924 ppl=597 | 14K tok/s
  step   200/3096 | loss=5.6708 ppl=290 | 14K tok/s
  step   250/3096 | loss=5.3607 ppl=213 | 14K tok/s
  step   300/3096 | loss=4.9250 ppl=138 | 14K tok/s
  step   350/3096 | loss=4.7015 ppl=110 | 14K tok/s
  step   400/3096 | loss=4.3559 ppl=78 | 14K tok/s
  step   450/3096 | loss=4.0496 ppl=57 | 14K tok/s
  step   500/3096 | loss=4.0642 ppl=58 | 14K tok/s
  step   550/3096 | loss=3.7820 ppl=44 | 14K tok/s
  step   600/3096 | loss=3.8068 ppl=45 | 14K tok/s
  step   650/3096 | loss=3.7394 ppl=42 | 14K tok/s
  step   700/3096 | loss=3.4941 ppl=33 | 14K tok/s
  step   750/3096 | loss=3.5945 ppl=36 | 14K tok/s
  step   800/3096 | loss=3.5127 ppl=34 | 14K tok/s
  step   850/3096 | loss=3.0222 ppl=21 | 14K tok/s
  step   900/3096 | loss=3.3856 ppl=30 | 14K tok/s
  step   950/3096 | loss=3.1338 ppl=23 | 14K tok/s
  step  1000/3096 | loss=3.1570 ppl=23 | 14K tok/s
  step  1050/3096 | loss=3.1564 ppl=23 | 14K tok/s
  step  1100/3096 | loss=3.0172 ppl=20 | 14K tok/s
  step  1150/3096 | loss=3.1546 ppl=23 | 14K tok/s
  step  1200/3096 | loss=2.8725 ppl=18 | 14K tok/s
  step  1250/3096 | loss=2.8257 ppl=17 | 14K tok/s
  step  1300/3096 | loss=2.8204 ppl=17 | 14K tok/s
  step  1350/3096 | loss=3.0337 ppl=21 | 14K tok/s
  step  1400/3096 | loss=3.0857 ppl=22 | 14K tok/s
  step  1450/3096 | loss=2.7357 ppl=15 | 14K tok/s
  step  1500/3096 | loss=2.6926 ppl=15 | 14K tok/s
  step  1550/3096 | loss=2.6321 ppl=14 | 14K tok/s
  step  1600/3096 | loss=2.4893 ppl=12 | 14K tok/s
  step  1650/3096 | loss=2.6348 ppl=14 | 14K tok/s
  step  1700/3096 | loss=2.5967 ppl=13 | 14K tok/s
  step  1750/3096 | loss=2.5181 ppl=12 | 14K tok/s
  step  1800/3096 | loss=2.8004 ppl=16 | 14K tok/s
  step  1850/3096 | loss=2.5603 ppl=13 | 14K tok/s
  step  1900/3096 | loss=2.5037 ppl=12 | 14K tok/s
  step  1950/3096 | loss=2.5232 ppl=12 | 14K tok/s
  step  2000/3096 | loss=2.5739 ppl=13 | 14K tok/s
  step  2050/3096 | loss=2.4742 ppl=12 | 14K tok/s
  step  2100/3096 | loss=2.3308 ppl=10 | 14K tok/s
  step  2150/3096 | loss=2.5595 ppl=13 | 14K tok/s
  step  2200/3096 | loss=2.6207 ppl=14 | 14K tok/s
  step  2250/3096 | loss=2.6230 ppl=14 | 14K tok/s
  step  2300/3096 | loss=2.5695 ppl=13 | 14K tok/s
  step  2350/3096 | loss=2.6728 ppl=14 | 14K tok/s
  step  2400/3096 | loss=2.6683 ppl=14 | 14K tok/s
  step  2450/3096 | loss=2.1940 ppl=9 | 14K tok/s
  step  2500/3096 | loss=2.0640 ppl=8 | 14K tok/s
  step  2550/3096 | loss=2.4051 ppl=11 | 14K tok/s
  step  2600/3096 | loss=2.5219 ppl=12 | 14K tok/s
  step  2650/3096 | loss=2.1952 ppl=9 | 14K tok/s
  step  2700/3096 | loss=2.2829 ppl=10 | 14K tok/s
  step  2750/3096 | loss=2.4659 ppl=12 | 14K tok/s
  step  2800/3096 | loss=2.3184 ppl=10 | 14K tok/s
  step  2850/3096 | loss=2.2948 ppl=10 | 14K tok/s
  step  2900/3096 | loss=2.2128 ppl=9 | 14K tok/s
  step  2950/3096 | loss=2.0106 ppl=7 | 14K tok/s
  step  3000/3096 | loss=2.0509 ppl=8 | 14K tok/s
  step  3050/3096 | loss=2.1376 ppl=8 | 14K tok/s

=======================================================
DONE: checkpoints/mix_40_60_rw.pt
  VAL PPL: 9 | 30.7min | 14K tok/s
  Checkpoint: checkpoints/mix_40_60_rw.pt (0.4GB)
=======================================================
