step,total_steps,loss,ppl
1,6764,9.1344,9269
2,6764,8.8746,7148
3,6764,8.8488,6966
4,6764,8.8284,6826
5,6764,8.8085,6691
6,6764,8.8881,7245
7,6764,8.7186,6116
8,6764,8.6985,5994
9,6764,8.7555,6345
10,6764,8.7488,6303
50,6764,8.0415,3107
100,6764,7.2047,1346
150,6764,6.5990,734
200,6764,5.8193,337
250,6764,5.7335,309
300,6764,5.2578,192
350,6764,4.4797,88
400,6764,4.5113,91
450,6764,4.1992,67
500,6764,4.0762,59
550,6764,3.9403,51
600,6764,3.6250,38
650,6764,3.5366,34
700,6764,3.5129,34
750,6764,3.2843,27
800,6764,3.2480,26
850,6764,3.0629,21
900,6764,2.9503,19
950,6764,2.9166,18
1000,6764,2.7927,16
1050,6764,2.6881,15
1100,6764,2.9384,19
1150,6764,2.4432,12
1200,6764,2.8919,18
1250,6764,2.6589,14
1300,6764,2.9391,19
1350,6764,2.7657,16
1400,6764,3.1969,24
1450,6764,2.5900,13
1500,6764,2.9473,19
1550,6764,2.7614,16
1600,6764,2.8140,17
1650,6764,2.4761,12
1700,6764,2.5448,13
1750,6764,2.2573,10
1800,6764,2.4710,12
1850,6764,2.3171,10
1900,6764,2.4231,11
1950,6764,2.1457,9
2000,6764,2.4977,12
2050,6764,2.5746,13
2100,6764,2.3604,11
2150,6764,2.1247,8
2200,6764,2.4447,12
2250,6764,2.2433,9
2300,6764,2.2011,9
2350,6764,2.4636,12
2400,6764,2.2473,9
2450,6764,2.2489,9
2500,6764,2.3557,11
2550,6764,2.2420,9
2600,6764,2.2984,10
2650,6764,2.0821,8
2700,6764,2.1721,9
2750,6764,2.2149,9
2800,6764,2.0541,8
2850,6764,2.1861,9
2900,6764,2.0731,8
2950,6764,2.0078,7
3000,6764,2.0720,8
3050,6764,2.1658,9
3100,6764,2.2530,10
3150,6764,2.2966,10
3200,6764,2.3316,10
3250,6764,2.0700,8
3300,6764,2.2728,10
3350,6764,2.2949,10
3400,6764,2.3722,11
3450,6764,2.0300,8
3500,6764,1.8460,6
3550,6764,2.1784,9
3600,6764,1.9026,7
3650,6764,2.0855,8
3700,6764,1.7834,6
3750,6764,1.9765,7
3800,6764,2.1268,8
3850,6764,1.9985,7
3900,6764,1.7154,6
3950,6764,2.0251,8
4000,6764,1.7274,6
4050,6764,1.9841,7
4100,6764,1.8815,7
4150,6764,2.1174,8
4200,6764,1.7802,6
4250,6764,2.0950,8
4300,6764,1.9455,7
4350,6764,2.1002,8
4400,6764,1.7930,6
4450,6764,1.8840,7
4500,6764,1.8632,6
4550,6764,1.8233,6
4600,6764,2.1674,9
4650,6764,1.8846,7
4700,6764,2.0021,7
4750,6764,1.9644,7
4800,6764,1.8719,7
4850,6764,1.9602,7
4900,6764,2.1562,9
4950,6764,2.0992,8
5000,6764,2.0842,8
5050,6764,1.9247,7
5100,6764,1.7242,6
5150,6764,1.8199,6
5200,6764,1.9780,7
5250,6764,1.8491,6
5300,6764,1.7609,6
5350,6764,1.9114,7
5400,6764,1.8200,6
5450,6764,2.3266,10
5500,6764,1.7127,6
5550,6764,1.8816,7
5600,6764,1.8541,6
5650,6764,1.6574,5
5700,6764,2.0902,8
5750,6764,2.2514,10
5800,6764,1.8108,6
5850,6764,1.7244,6
5900,6764,1.8031,6
5950,6764,2.0672,8
6000,6764,1.9202,7
6050,6764,1.8229,6
6100,6764,1.9088,7
6150,6764,1.7298,6
6200,6764,1.9195,7
6250,6764,1.7225,6
6300,6764,1.5441,5
6350,6764,1.6599,5
6400,6764,1.6552,5
6450,6764,1.6020,5
6500,6764,1.6015,5
6550,6764,1.5646,5
6600,6764,1.7441,6
6650,6764,1.6410,5
6700,6764,1.9000,7
6750,6764,1.7872,6
