
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  192,987,648 params | 10824 steps | bs=4x1024 | 2 epochs | LR=0.0005
  step  4250/10824 | loss=2.0239 ppl=8 | 6K tok/s
  step  4300/10824 | loss=1.5370 ppl=5 | 6K tok/s
  step  4350/10824 | loss=1.7132 ppl=6 | 6K tok/s
  step  4400/10824 | loss=1.6693 ppl=5 | 6K tok/s
  step  4450/10824 | loss=2.1447 ppl=9 | 6K tok/s
  step  4500/10824 | loss=1.9573 ppl=7 | 6K tok/s
  step  4550/10824 | loss=1.9215 ppl=7 | 6K tok/s
  step  4600/10824 | loss=1.8995 ppl=7 | 6K tok/s
  step  4650/10824 | loss=1.9633 ppl=7 | 6K tok/s
  step  4700/10824 | loss=2.0315 ppl=8 | 6K tok/s
  step  4750/10824 | loss=1.8938 ppl=7 | 6K tok/s
  step  4800/10824 | loss=1.9867 ppl=7 | 6K tok/s
  step  4850/10824 | loss=2.1697 ppl=9 | 6K tok/s
  step  4900/10824 | loss=1.7837 ppl=6 | 6K tok/s
  step  4950/10824 | loss=1.9948 ppl=7 | 6K tok/s
  step  5000/10824 | loss=1.9823 ppl=7 | 6K tok/s
  step  5050/10824 | loss=1.9594 ppl=7 | 6K tok/s
  step  5100/10824 | loss=1.8320 ppl=6 | 6K tok/s
  step  5150/10824 | loss=2.1329 ppl=8 | 6K tok/s
  step  5200/10824 | loss=1.7440 ppl=6 | 6K tok/s
  step  5250/10824 | loss=1.7434 ppl=6 | 6K tok/s
  step  5300/10824 | loss=1.7066 ppl=6 | 6K tok/s
  step  5350/10824 | loss=2.0381 ppl=8 | 6K tok/s
  step  5400/10824 | loss=1.9070 ppl=7 | 6K tok/s
  step  5450/10824 | loss=2.0321 ppl=8 | 6K tok/s
  step  5500/10824 | loss=1.4464 ppl=4 | 6K tok/s
  step  5550/10824 | loss=1.5620 ppl=5 | 6K tok/s
  step  5600/10824 | loss=1.7665 ppl=6 | 6K tok/s
  step  5650/10824 | loss=1.8176 ppl=6 | 6K tok/s
  step  5700/10824 | loss=1.7649 ppl=6 | 6K tok/s
  step  5750/10824 | loss=1.7465 ppl=6 | 6K tok/s
  step  5800/10824 | loss=1.5955 ppl=5 | 6K tok/s
  step  5850/10824 | loss=1.7571 ppl=6 | 6K tok/s
  step  5900/10824 | loss=1.8231 ppl=6 | 6K tok/s
  step  5950/10824 | loss=1.6780 ppl=5 | 6K tok/s
  step  6000/10824 | loss=1.7037 ppl=5 | 6K tok/s
  step  6050/10824 | loss=1.5210 ppl=5 | 6K tok/s
  step  6100/10824 | loss=1.6656 ppl=5 | 6K tok/s
  step  6150/10824 | loss=1.8910 ppl=7 | 6K tok/s
  step  6200/10824 | loss=1.7641 ppl=6 | 6K tok/s
  step  6250/10824 | loss=1.8549 ppl=6 | 6K tok/s
  step  6300/10824 | loss=1.6204 ppl=5 | 6K tok/s
  step  6350/10824 | loss=1.8682 ppl=6 | 6K tok/s
  step  6400/10824 | loss=1.8916 ppl=7 | 6K tok/s
  step  6450/10824 | loss=1.8001 ppl=6 | 6K tok/s
  step  6500/10824 | loss=1.7416 ppl=6 | 6K tok/s
  step  6550/10824 | loss=1.9458 ppl=7 | 6K tok/s
  step  6600/10824 | loss=1.8141 ppl=6 | 6K tok/s
  step  6650/10824 | loss=1.7044 ppl=5 | 6K tok/s
  step  6700/10824 | loss=1.7525 ppl=6 | 6K tok/s
  step  6750/10824 | loss=1.7400 ppl=6 | 6K tok/s
  step  6800/10824 | loss=1.6568 ppl=5 | 6K tok/s
  step  6850/10824 | loss=1.6551 ppl=5 | 6K tok/s
  step  6900/10824 | loss=1.7311 ppl=6 | 6K tok/s
  step  6950/10824 | loss=1.6865 ppl=5 | 6K tok/s
  step  7000/10824 | loss=1.6961 ppl=5 | 6K tok/s
  step  7050/10824 | loss=1.6114 ppl=5 | 6K tok/s
  step  7100/10824 | loss=1.6673 ppl=5 | 6K tok/s
  step  7150/10824 | loss=1.6513 ppl=5 | 6K tok/s
  step  7200/10824 | loss=1.7297 ppl=6 | 6K tok/s
  step  7250/10824 | loss=1.5982 ppl=5 | 6K tok/s
  step  7300/10824 | loss=1.7354 ppl=6 | 6K tok/s
  step  7350/10824 | loss=1.8025 ppl=6 | 6K tok/s
  step  7400/10824 | loss=1.7369 ppl=6 | 6K tok/s
  step  7450/10824 | loss=1.7567 ppl=6 | 6K tok/s
  step  7500/10824 | loss=1.8169 ppl=6 | 6K tok/s
  step  7550/10824 | loss=1.6001 ppl=5 | 6K tok/s
  step  7600/10824 | loss=1.9384 ppl=7 | 6K tok/s
  step  7650/10824 | loss=1.7597 ppl=6 | 6K tok/s
  step  7700/10824 | loss=1.5460 ppl=5 | 6K tok/s
