step,total_steps,loss,ppl
11850,12384,0.7947,2
11900,12384,0.7729,2
11950,12384,0.7331,2
12000,12384,0.7792,2
12050,12384,0.7815,2
12100,12384,0.7434,2
12150,12384,0.7093,2
12200,12384,0.9100,2
12250,12384,0.7563,2
12300,12384,0.7678,2
12350,12384,0.8627,2
