step,total_steps,loss,ppl
1,3096,9.1049,8999
2,3096,8.8868,7235
3,3096,8.8353,6873
4,3096,8.8568,7022
5,3096,8.9412,7640
6,3096,8.7850,6535
7,3096,8.8104,6703
8,3096,8.7182,6113
9,3096,8.7071,6046
10,3096,8.6375,5639
50,3096,7.9242,2763
100,3096,7.3282,1523
150,3096,6.6635,783
200,3096,6.2056,495
250,3096,5.9527,385
300,3096,5.3697,215
350,3096,5.2400,189
400,3096,5.1537,173
450,3096,4.9366,139
500,3096,4.2677,71
550,3096,4.5225,92
600,3096,4.1792,65
650,3096,3.7919,44
700,3096,4.1689,65
750,3096,4.0847,59
800,3096,3.8014,45
850,3096,3.2725,26
900,3096,3.7291,42
950,3096,3.7778,44
1000,3096,3.9570,52
1050,3096,4.0562,58
1100,3096,3.2630,26
1150,3096,3.7900,44
1200,3096,2.5048,12
1250,3096,3.0806,22
1300,3096,3.9621,53
1350,3096,3.0947,22
1400,3096,3.3055,27
1450,3096,3.3263,28
1500,3096,3.5847,36
1550,3096,3.5967,36
1600,3096,2.4553,12
1650,3096,3.4424,31
1700,3096,2.5676,13
1750,3096,2.9982,20
1800,3096,2.9043,18
1850,3096,3.3683,29
1900,3096,3.2783,27
1950,3096,2.7499,16
2000,3096,3.5625,35
2050,3096,2.8975,18
2100,3096,2.7405,15
2150,3096,2.0917,8
2200,3096,3.0266,21
2250,3096,3.1856,24
2300,3096,2.7044,15
2350,3096,3.2991,27
2400,3096,3.4172,30
2450,3096,3.0831,22
2500,3096,3.4966,33
2550,3096,2.7275,15
2600,3096,3.1594,24
2650,3096,2.9005,18
2700,3096,2.7860,16
2750,3096,2.5645,13
2800,3096,2.9748,20
2850,3096,2.9246,19
2900,3096,2.8256,17
2950,3096,2.0731,8
3000,3096,2.1468,9
3050,3096,2.0605,8
