step,total_steps,loss,ppl
1,3052,9.1360,9283
2,3052,8.7981,6622
3,3052,8.8690,7108
4,3052,8.7630,6394
5,3052,8.7822,6517
6,3052,8.8199,6767
7,3052,8.6708,5830
8,3052,8.6158,5518
9,3052,8.5840,5346
10,3052,8.5317,5073
50,3052,7.7093,2229
100,3052,6.9105,1003
150,3052,6.4875,657
200,3052,5.9186,372
250,3052,5.6345,280
300,3052,5.0319,153
350,3052,4.8688,130
400,3052,4.4771,88
450,3052,4.2386,69
500,3052,4.0801,59
550,3052,4.0371,57
600,3052,3.7240,41
650,3052,3.3942,30
700,3052,3.9950,54
750,3052,3.7485,42
800,3052,3.2222,25
850,3052,3.4060,30
900,3052,3.2952,27
950,3052,3.4986,33
1000,3052,3.2539,26
1050,3052,3.0553,21
1100,3052,3.1754,24
1150,3052,3.0292,21
1200,3052,3.1252,23
1250,3052,2.9131,18
1300,3052,3.0662,21
1350,3052,2.9474,19
1400,3052,2.7278,15
1450,3052,2.7026,15
1500,3052,2.8655,18
1550,3052,2.7239,15
1600,3052,2.4244,11
1650,3052,2.5942,13
1700,3052,2.6249,14
1750,3052,2.7299,15
1800,3052,2.7257,15
1850,3052,2.6495,14
1900,3052,2.7227,15
1950,3052,2.4084,11
2000,3052,2.8088,17
2050,3052,2.6022,13
2100,3052,2.5638,13
2150,3052,2.4148,11
2200,3052,2.5856,13
2250,3052,2.7315,15
2300,3052,2.2336,9
2350,3052,2.6166,14
2400,3052,2.5797,13
2450,3052,2.5975,13
2500,3052,2.6997,15
2550,3052,2.2482,9
2600,3052,2.4433,12
2650,3052,2.1966,9
2700,3052,2.6254,14
2750,3052,2.3998,11
2800,3052,2.3871,11
2850,3052,2.2571,10
2900,3052,2.4414,11
2950,3052,2.3455,10
3000,3052,2.4348,11
3050,3052,2.2106,9
